Name of Area,year,Incidents
Atlantic,2000,10480
Bergen,2000,38738
Burlington,2000,12444
Camden,2000,16804
Cape May,2000,3629
Cumberland,2000,5547
Essex,2000,40448
Gloucester,2000,6856
Hudson,2000,28426
Hunterdon,2000,3938
Mercer,2000,14148
Middlesex,2000,34384
Monmouth,2000,21095
Morris,2000,17321
Ocean,2000,16239
Passaic,2000,21916
Salem,2000,2101
Somerset,2000,11979
Sussex,2000,3997
Union,2000,23763
Warren,2000,3408
Atlantic,2001,9739
Bergen,2001,35431
Burlington,2001,12149
Camden,2001,16016
Cape May,2001,3346
Cumberland,2001,5188
Essex,2001,36017
Gloucester,2001,6545
Hudson,2001,24855
Hunterdon,2001,3959
Mercer,2001,14115
Middlesex,2001,30801
Monmouth,2001,20049
Morris,2001,15838
Ocean,2001,15987
Passaic,2001,20663
Salem,2001,1894
Somerset,2001,11291
Sussex,2001,3734
Union,2001,21879
Warren,2001,3200
Atlantic,2002,9741
Bergen,2002,35224
Burlington,2002,13196
Camden,2002,16255
Cape May,2002,3559
Cumberland,2002,5246
Essex,2002,36435
Gloucester,2002,7177
Hudson,2002,24410
Hunterdon,2002,3880
Mercer,2002,14835
Middlesex,2002,31357
Monmouth,2002,20992
Morris,2002,16634
Ocean,2002,16710
Passaic,2002,20809
Salem,2002,1816
Somerset,2002,11628
Sussex,2002,4021
Union,2002,22661
Warren,2002,3393
Atlantic,2003,10304
Bergen,2003,35764
Burlington,2003,13895
Camden,2003,17155
Cape May,2003,3494
Cumberland,2003,5670
Essex,2003,34408
Gloucester,2003,7597
Hudson,2003,23467
Hunterdon,2003,4257
Mercer,2003,15347
Middlesex,2003,30901
Monmouth,2003,21532
Morris,2003,17112
Ocean,2003,17462
Passaic,2003,20843
Salem,2003,2070
Somerset,2003,12387
Sussex,2003,4561
Union,2003,22591
Warren,2003,3236
Atlantic,2004,10850
Bergen,2004,33985
Burlington,2004,13924
Camden,2004,17625
Cape May,2004,3473
Cumberland,2004,6013
Essex,2004,33764
Gloucester,2004,7970
Hudson,2004,22553
Hunterdon,2004,4466
Mercer,2004,15259
Middlesex,2004,31420
Monmouth,2004,22465
Morris,2004,16801
Ocean,2004,17706
Passaic,2004,20508
Salem,2004,2175
Somerset,2004,12017
Sussex,2004,4501
Union,2004,22232
Warren,2004,3703
Atlantic,2005,10508
Bergen,2005,33204
Burlington,2005,13430
Camden,2005,17237
Cape May,2005,3641
Cumberland,2005,5313
Essex,2005,32393
Gloucester,2005,8137
Hudson,2005,21235
Hunterdon,2005,4343
Mercer,2005,14924
Middlesex,2005,30809
Monmouth,2005,22269
Morris,2005,16567
Ocean,2005,17214
Passaic,2005,20221
Salem,2005,1870
Somerset,2005,12035
Sussex,2005,4630
Union,2005,21594
Warren,2005,3851
Atlantic,2006,10405
Bergen,2006,30935
Burlington,2006,13170
Camden,2006,16585
Cape May,2006,3447
Cumberland,2006,4863
Essex,2006,26759
Gloucester,2006,7612
Hudson,2006,19599
Hunterdon,2006,4159
Mercer,2006,13823
Middlesex,2006,30332
Monmouth,2006,20748
Morris,2006,15999
Ocean,2006,16681
Passaic,2006,19179
Salem,2006,1718
Somerset,2006,11508
Sussex,2006,4172
Union,2006,20255
