County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Atlantic,10480,9739,9741,10304,10850,10508,10405,10576,10508,10685,10388,9388,9874,9106,8250
Bergen,38738,35431,35224,35764,33985,33204,30935,33255,32261,31960,33226,32733,30251,31420,31272
Burlington,12444,12149,13196,13895,13924,13430,13170,13520,12860,13005,13347,12804,12534,13117,11555
Camden,16804,16016,16255,17155,17625,17237,16585,17771,17070,17204,15812,14653,14404,15151,13194
Cape May,3629,3346,3559,3494,3473,3641,3447,3335,3178,3218,3410,3392,3193,3449,2994
Cumberland,5547,5188,5246,5670,6013,5313,4863,5159,4894,5131,4402,4449,4459,4764,4514
Essex,40448,36017,36435,34408,33764,32393,26759,24987,30540,28244,27574,26222,25548,26017,25969
Gloucester,6856,6545,7177,7597,7970,8137,7612,7883,7974,8272,8090,7604,6830,6486,5987
Hudson,28426,24855,24410,23467,22553,21235,19599,20785,19846,19168,19734,19945,19492,19227,19166
Hunterdon,3938,3959,3880,4257,4466,4343,4159,4342,4183,4341,4148,3769,4096,3910,2983
Mercer,14148,14115,14835,15347,15259,14924,13823,14197,13401,13723,13817,14067,12884,13733,11668
Middlesex,34384,30801,31357,30901,31420,30809,30332,31799,30742,29775,29011,29300,29113,28791,28428
Monmouth,21095,20049,20992,21532,22465,22269,20748,21433,21473,21712,21452,20733,20186,20969,18864
Morris,17321,15838,16634,17112,16801,16567,15999,17700,16617,16224,16255,16881,16015,16503,13278
Ocean,16239,15987,16710,17462,17706,17214,16681,17676,17180,17683,18241,16750,16640,17658,16282
Passaic,21916,20663,20809,20843,20508,20221,19179,19066,18558,18984,18952,19145,18914,18925,16936
Salem,2101,1894,1816,2070,2175,1870,1718,1849,1784,1821,1856,1693,1599,1509,1413
Somerset,11979,11291,11628,12387,12017,12035,11508,12455,12036,12277,12308,12378,12087,12165,10050
Sussex,3997,3734,4021,4561,4501,4630,4172,4393,4229,4216,4142,4266,3709,3759,2055
Union,23763,21879,22661,22591,22232,21594,20255,20809,19835,19821,19900,19914,18994,19218,18647
Warren,3408,3200,3393,3236,3703,3851,3598,3829,3844,3769,3510,3509,3240,3427,2035
